"id","breed","sex","age","numberOfCatsInHouse","houseType","zone","timeOutside","timeWithOwner","shy","calm","afraid","clever","vigilant","persevering","affectionate","friendly","lonely","brutal","dominant","aggressive","impulsive","predictable","distracted","greeneryInArea","birdCatcher","mammalCatcher","bonus"
"8","13",2,"1","2","4","3","4","3","2","2","1","4","4","4","4","4","3","2","4","2","4","4","4","3","1","5",""
"9","6",1,"3","6","4","3","1","4","4","4","2","5","2","3","5","2","2","2","1","2","1","1","1","3","1","1","My cats have access to an outdoor enclosure"
"10","6","2","3",1,"4","3","1","3","2","4","1","4","4","4","4","4","2","1","1","1","1","3","1","3","1","1","He only has access to the outdoors on a leash in nice weather."
"11","1","2","1","2","4","3","1","4","3","5","1","5","5","5","5","4","3","1","1","1","1","3","1","3","1","1",""
"12","6","1","1","6","4","3","1","3","2","5","1","4","3","4","5","5","3","1","1","1","1","3","3","3","1","1",""
"13","1","1","3","3","4","3","2","3","5","4","5","5","5","5","4","1","5","1","1","3","1","4","4","3","1","1",""
"14","6","2","3","2","3","2","1","3","4","4","4","5","5","5","5","4","2","1","1","1","1","4","1","3","1","1","Only goes out to the cattery and does not try to chase away birds that come inside"
"16","2","2","3","2","3","3","3","3","4","4","4","5","4","5","5","5","2","1","3","5","4","5","4","3","1","2","clingy"
"18","6","1","3","6","4","2","1","3","1","4","1","4","5","5","4","4","5","3","5","4","5","5","3","3","1","1",""
"19","1","1","3","1","4","3","4","3","4","2","1","5","5","5","5","2","1","4","5","4","3","4","4","3","1","5",""
"20","7","1","3","2","2","1","1","2","2","4","2","4","4","4","3","3","3","1","1","1","3","4","3","3","1","1",""
"21","7","2","3","2","2","1","1","2","4","3","4","4","4","2","4","1","2","1","1","1","1","3","4","3","1","1",""
"22","1","2","2","1","4","2","2","3","2","1","3","5","5","5","5","4","5","1","3","3","5","2","5","3","1","1",""
"23","1","2","1","1","2","2","1","3","1","2","1","4","4","4","4","4","1","3","3","4","4","4","4","3","1","2","He loves water and brings his toys"
"24","10","2","4","2","4","3","1","3","3","4","2","4","4","4","4","3","4","1","1","1","1","3","3","3","1","1",""
"25","3","2","1","3","4","3","1","4","1","1","1","5","3","2","2","3","2","4","3","1","3","5","3","3","1","1",""
"27","3","2","4","2","3","2","3","3","2","5","2","5","2","3","5","4","1","1","3","2","1","4","2","3","1","2",""
"28","3","2","3","3","4","3","1","3","2","5","1","5","5","5","5","5","1","1","1","1","1","5","2","3","1","1",""
"29","13","2","3","1","3","3","1","4","4","5","3","4","5","4","5","4","4","1","3","2","2","4","3","3","1","1","Siberian cat, not used to going out"
"30","3","2","3","1","4","2","1","3","3","5","2","5","4","4","4","4","3","1","3","1","3","4","2","3","1","1",""
"31","3","1","3","1","1","1","3","4","3","2","3","5","3","3","4","2","1","1","3","3","2","3","2","3","1","1","Sleep! She sleeps at least 20 hours a day..."
"33","3","1","1","1","4","3","1","3","1","2","3","2","2","4","4","4","5","2","4","3","4","2","2","3","1","1","British longhair, does not go out at all."
"34","3","1","3","2","4","2","1","3","3","5","4","5","5","5","5","4","4","1","4","4","1","4","1","3","1","1",""
"36","13","2","1","3","4","3","1","4","3","3","3","2","2","2","2","1","3","1","3","3","3","2","2","3","1","1","One of my 3 cats comes from outside but the 3 do not go out because they are not yet neutered and I do not want them to reproduce."
"38","3","2","3","2","4","3","2","3","1","4","4","3","4","3","5","5","1","1","1","1","1","5","5","3","1","1",""
"39","3","1","3","1","3","2","1","3","2","4","3","4","4","4","4","1","2","1","3","3","2","4","4","3","1","1","She loves catching flies and spiders"
"40","3","1","1","1","4","3","1","3","3","3","4","4","2","4","5","4","3","2","3","3","3","3","4","3","1","1",""
"41","3","2","1","2","4","2","1","4","1","4","3","2","2","2","2","4","1","3","3","2","3","3","3","3","1","1","For now it is not coming out"
"42","3","1","3","1","4","3","1","3","1","4","1","3","4","3","4","4","2","1","1","3","2","4","4","3","1","1",""
"44","7","1","2","1","3","3","1","3","2","4","4","5","3","3","5","5","3","1","3","2","3","2","3","3","1","1",""
"45","3","2","1","1","4","1","2","3","2","4","1","4","4","4","4","2","4","2","2","1","1","3","4","3","1","1",""
"47","13","1","3","1","3","3","1","2","3","3","3","4","4","4","3","1","4","4","4","1","4","4","4","3","1","1",""
"49","5","1","1","2","2","1","3","3","5","4","3","3","4","4","4","5","2","1","2","3","3","4","4","3","1","4","She brings back earthworms, dead leaves."
"50","3","1","3","1","2","1","2","3","2","4","5","4","5","4","4","4","4","2","4","5","4","3","4","3","1","1",""
"52","3","2","2","1","3","3","2","2","2","5","3","3","4","2","2","2","1","1","3","3","3","3","5","3","1","1",""
"54","13","1","2","1","3","2","3","2","4","4","4","1","3","3","1","2","3","3","3","2","3","3","3","3","1","1",""
"56","8","1","3","3","4","3","1","3","1","4","3","4","4","4","4","1","4","1","4","3","4","2","4","3","1","1","She drinks water from the tap. She is very capricious."
"58","13","1","3","3","4","3","2","2","4","4","4","4","4","4","4","4","4","1","4","1","2","2","4","3","1","2",""
"60","6","1","1","3","4","3","2","3","1","1","1","4","1","4","3","4","1","2","3","3","4","4","4","3","1","1","She is not afraid of anything or anyone, even the vacuum cleaner, she tries to hit it with her paw ??"
"61","13","1","1","1","4","3","1","3","2","5","3","4","4","4","5","5","1","1","3","3","3","2","1","3","1","1","No outdoor outing, enclosure not yet available, R'Mione is the future 1st mother of a British Longhair cat breeder"
"66","5","2","1","1","3","1","1","3","1","4","1","5","5","5","5","5","1","1","1","1","1","5","3","3","1","1",""
"68","5","1","1","3","4","3","3","4","1","3","1","5","4","4","5","5","1","4","3","1","3","4","4","3","1","1",""
"73","3","1","2","1","4","3","1","3","2","5","3","5","5","5","4","5","4","1","2","3","3","3","3","3","1","1",""
"77","3","2","2","2","4","3","1","4","2","5","1","5","4","5","5","4","2","1","1","1","1","4","1","3","1","1",""
"83","3","1","3","2","3","2","2","3","4","4","4","4","3","3","4","1","4","2","1","2","1","3","3","3","1","1","Tied outdoors with 5m leash"
"84","13","2","1","1","3","3","3","3","2","2","4","3","3","4","1","2","4","4","4","2","5","1","3","3","1","1",""
"88","13","2","1","1","3","3","1","3","4","2","3","5","5","3","4","2","3","3","3","3","4","4","4","3","1","1",""
"89","3","2","3","1","2","2","4","4","5","3","4","3","3","1","4","4","3","1","2","4","2","5","2","3","1","1","Meows all the time"
"93","6","2","3","4","3","2","4","2","5","5","4","4","5","4","5","1","5","1","3","1","1","4","2","3","1","1",""
"95","10","1","4","4","3","3","2","4","4","4","5","5","5","5","5","4","5","3","4","5","5","1","4","3","1","1",""
"98","3","1","3","2","4","3","2","2","3","3","3","3","3","3","3","2","2","1","1","1","1","1","1","3","1","1",""
"101","3","1","2","6","4","3","1","3","2","2","1","2","2","2","2","2","1","1","1","1","1","2","1","3","1","1",""
"102","3","1","1","5","4","3","1","3","1","4","1","5","4","5","5","4","1","3","1","1","2","4","4","3","1","1",""
"104","3","2","1","1","3","2","2","4","3","4","3","5","5","5","3","3","3","1","1","1","1","1","2","3","1","1","Go out on a leash in the garden"
"108","3","1","4","2","4","3","1","3","1","5","2","3","2","4","5","5","1","5","2","2","1","3","4","3","1","1",""
"109","5","1","3","1","4","3","2","3","2","2","5","5","4","5","4","2","4","4","4","4","4","4","4","3","1","1",""
"110","13","2","3","2","3","3","3","2","3","5","1","4","5","3","5","4","3","1","3","5","3","3","2","3","1","1","Neutered and dominant cat with outside cats
 Hunting and prey unknown due to lack of garden but goes out into a backyard park"
"111","13","1","1","1","3","3","2","3","3","4","1","5","5","5","3","3","4","1","1","1","2","4","3","3","1","1",""
"112","12","1","2","3","4","3","1","3","1","5","1","5","5","5","5","5","1","1","1","1","1","5","4","3","1","1","Answer for TUV, my EUR is the opposite"
"116","3","2","1","1","4","3","1","4","1","4","2","5","5","5","5","5","1","1","2","2","2","2","4","3","1","1",""
"117","2","1","2","2","4","3","2","4","4","3","3","4","5","5","5","3","2","2","2","1","3","4","5","3","1","1","This is a cat that only goes out under supervision for 1 hour max per day, so it can't hunt, but it is very curious when it hears a bird, for example."
"118","3","2","3","1","4","3","1","3","5","4","3","3","5","4","3","3","5","1","3","3","1","4","2","3","1","1","Indoor cat, has not seen a mouse yet, but his toy mouse, he uses it like a real one. It's funny."
