Row.names,Time stamp,Sex,Age,Breed,Number,Accommodation,Area,Ext,Obs,Shy,Calm,Afraid,Clever,Vigilant,Persevering,Affectionate,Friendly,Lonely,Brutal,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBird,PredMamm,More
1,2021-02-09 16:36:39 UTC,F,Less than 1,SBI,3,ASB,U,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NSP,4,4,
10,2021-02-12 18:25:58 UTC,F,Less than 1,SBI,1,AAB,U,0,2,1,1,3,4,4,5,5,5,1,2,2,3,4,4,3,NSP,0,0,
100,2021-03-06 22:04:33 UTC,F,2a10,EUR,4,ML,U,0,2,4,4,3,5,5,4,5,4,2,1,1,1,2,4,2,NSP,0,0,"She doesn't hunt because she doesn't go out, if she went out I know she would hunt because she lived alone outside for at least a year"
1000,2021-02-18 16:10:11 UTC,F,Less than 1,EUR,1,ML,R,2,2,3,2,2,4,3,5,4,4,3,4,3,3,3,4,4,3,0,0,She comes when I call her
1001,2021-02-18 18:00:51 UTC,F,1a2,SBI,2,MI,R,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,3,0,0,
1002,2021-02-18 18:55:19 UTC,F,More than 10,SBI,2,MI,R,1,3,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,3,0,0,
1003,2021-02-18 18:57:15 UTC,M,Less than 1,NR,2,MI,R,3,2,2,2,1,4,4,4,4,4,3,2,4,2,4,4,4,3,0,4,
1004,2021-02-18 20:10:03 UTC,F,2a10,MCO,More than 5,MI,R,0,3,4,4,2,5,2,3,5,2,2,2,1,2,1,1,1,3,0,0,My cats have access to an outdoor enclosure
1005,2021-02-18 20:22:17 UTC,M,2a10,MCO,1,MI,R,0,2,2,4,1,4,4,4,4,4,2,1,1,1,1,3,1,3,0,0,He only has access to the outdoors on a leash in nice weather.
1006,2021-02-18 20:39:21 UTC,M,Less than 1,BEN,2,MI,R,0,3,3,5,1,5,5,5,5,4,3,1,1,1,1,3,1,3,0,0,
1007,2021-02-18 20:44:42 UTC,F,Less than 1,MCO,More than 5,MI,R,0,2,2,5,1,4,3,4,5,5,3,1,1,1,1,3,3,3,0,0,
1008,2021-02-18 21:08:34 UTC,F,2a10,BEN,3,MI,R,1,2,5,4,5,5,5,5,4,1,5,1,1,3,1,4,4,3,0,0,
1009,2021-02-18 21:19:20 UTC,M,2a10,MCO,2,ML,PU,0,2,4,4,4,5,5,5,5,4,2,1,1,1,1,4,1,3,0,0,Only goes out to the cattery and does not try to chase away birds that come inside
101,2021-03-06 22:38:11 UTC,F,2a10,EUR,1,ASB,R,0,2,1,3,1,4,4,4,4,4,4,3,2,1,1,1,3,NSP,0,0,
1010,2021-02-18 23:05:08 UTC,M,2a10,SBI,2,ML,R,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,3,0,1,clingy
