"id","breed","sex","age","numberOfCatsInHouse","houseType","zone","timeOutside","timeWithOwner","shy","calm","afraid","clever","vigilant","persevering","affectionate","friendly","lonely","brutal","dominant","aggressive","impulsive","predictable","distracted","greeneryInArea","birdCatcher","mammalCatcher","bonus"
"8","13","2","1","2","4","3","4","3","2","2","1","4","4","4","4","4","3","2","4","2","4","4","4","3","1","5",""
"9","6","1","3","6","4","3","1","4","4","4","2","5","2","3","5","2","2","2","1","2","1","1","1","3","1","1","My cats have access to an outdoor enclosure"
"10","6","2","3","1","4","3","1","3","2","4","1","4","4","4","4","4","2","1","1","1","1","3","1","3","1","1","He only has access to the outdoors on a leash in nice weather."
"11","1","2","1","2","4","3","1","4","3","5","1","5","5","5","5","4","3","1","1","1","1","3","1","3","1","1",""
"12","6","1","1","6","4","3","1","3","2","5","1","4","3","4","5","5","3","1","1","1","1","3","3","3","1","1",""
"13","1","1","3","3","4","3","2","3","5","4","5","5","5","5","4","1","5","1","1","3","1","4","4","3","1","1",""
"14","6","2","3","2","3","2","1","3","4","4","4","5","5","5","5","4","2","1","1","1","1","4","1","3","1","1","Only goes out to the cattery and does not try to chase away birds that come inside"
"16","2","2","3","2","3","3","3","3","4","4","4","5","4","5","5","5","2","1","3","5","4","5","4","3","1","2","clingy"
"18","6","1","3","6","4","2","1","3","1","4","1","4","5","5","4","4","5","3","5","4","5","5","3","3","1","1",""
"19","1","1","3","1","4","3","4","3","4","2","1","5","5","5","5","2","1","4","5","4","3","4","4","3","1","5",""
"20","7","1","3","2","2","1","1","2","2","4","2","4","4","4","3","3","3","1","1","1","3","4","3","3","1","1",""
"21","7","2","3","2","2","1","1","2","4","3","4","4","4","2","4","1","2","1","1","1","1","3","4","3","1","1",""
"22","1","2","2","1","4","2","2","3","2","1","3","5","5","5","5","4","5","1","3","3","5","2","5","3","1","1",""
"23","1","2","1","1","2","2","1","3","1","2","1","4","4","4","4","4","1","3","3","4","4","4","4","3","1","2","He loves water and brings his toys"
"24","10","2","4","2","4","3","1","3","3","4","2","4","4","4","4","3","4","1","1","1","1","3","3","3","1","1",""
"25","3","2","1","3","4","3","1","4","1","1","1","5","3","2","2","3","2","4","3","1","3","5","3","3","1","1",""
"27","3","2","4","2","3","2","3","3","2","5","2","5","2","3","5","4","1","1","3","2","1","4","2","3","1","2",""
"28","3","2","3","3","4","3","1","3","2","5","1","5","5","5","5","5","1","1","1","1","1","5","2","3","1","1",""
"29","13","2","3","1","3","3","1","4","4","5","3","4","5","4","5","4","4","1","3","2","2","4","3","3","1","1","Siberian cat, not used to going out"
"30","3","2","3","1","4","2","1","3","3","5","2","5","4","4","4","4","3","1","3","1","3","4","2","3","1","1",""
"31","3","1","3","1","1","1","3","4","3","2","3","5","3","3","4","2","1","1","3","3","2","3","2","3","1","1","Sleep! She sleeps at least 20 hours a day..."
"32","5","1","3","1","4","2","1","3","5","5","3","5","3","3","5","2","4","1","1","3","3","3","5","3","1","1","It's been 6 weeks since I adopted her, she came out of a human who e-navigation + 20 and she didn't take care of her anymore herself. It's the SPA who came to put them in safety. So that's the reason why I can't answer some questions."
"33","3","1","1","1","4","3","1","3","1","2","3","2","2","4","4","4","5","2","4","3","4","2","2","3","1","1","British longhair, does not go out at all."
"34","3","1","3","2","4","2","1","3","3","5","4","5","5","5","5","4","4","1","4","4","1","4","1","3","1","1",""
"35","13","1","3","3","4","3","3","4","1","2","2","4","4","3","4","1","4","4","4","4","4","4","1","3","1","4",""
"36","13","2","1","3","4","3","1","4","3","3","3","2","2","2","2","1","3","1","3","3","3","2","2","3","1","1","One of my 3 cats comes from outside but the 3 do not go out because they are not yet neutered and I do not want them to reproduce."
"38","3","2","3","2","4","3","2","3","1","4","4","3","4","3","5","5","1","1","1","1","1","5","5","3","1","1",""
"39","3","1","3","1","3","2","1","3","2","4","3","4","4","4","4","1","2","1","3","3","2","4","4","3","1","1","She loves catching flies and spiders"
"40","3","1","1","1","4","3","1","3","3","3","4","4","2","4","5","4","3","2","3","3","3","3","4","3","1","1",""
"41","3","2","1","2","4","2","1","4","1","4","3","2","2","2","2","4","1","3","3","2","3","3","3","3","1","1","For now it is not coming out"
"42","3","1","3","1","4","3","1","3","1","4","1","3","4","3","4","4","2","1","1","3","2","4","4","3","1","1",""
"43","5","2","3","1","1","3","1","3","5","2","3","4","5","4","4","2","4","4","3","3","4","2","4","3","1","1",""
"44","7","1","2","1","3","3","1","3","2","4","4","5","3","3","5","5","3","1","3","2","3","2","3","3","1","1",""
"45","3","2","1","1","4","1","2","3","2","4","1","4","4","4","4","2","4","2","2","1","1","3","4","3","1","1",""
"46","5","2","3","1","1","1","1","4","4","4","3","5","5","5","5","4","3","2","4","3","3","3","3","3","1","1",""
"47","13","1","3","1","3","3","1","2","3","3","3","4","4","4","3","1","4","4","4","1","4","4","4","3","1","1",""
"49","5","1","1","2","2","1","3","3","5","4","3","3","4","4","4","5","2","1","2","3","3","4","4","3","1","4","She brings back earthworms, dead leaves."
"50","3","1","3","1","2","1","2","3","2","4","5","4","5","4","4","4","4","2","4","5","4","3","4","3","1","1",""
"51","5","2","4","4","4","3","3","3","4","5","2","5","5","5","5","1","4","3","1","3","3","4","3","3","1","2","I have an outdoor cattery, which reduces predation"
"52","3","2","2","1","3","3","2","2","2","5","3","3","4","2","2","2","1","1","3","3","3","3","5","3","1","1",""
"53","5","2","1","1","4","3","2","3","2","1","1","5","4","4","5","4","5","5","3","1","1","4","3","3","1","1","He goes out very regularly but on a leash and being a student I live with my mother in a house but also in my ASB but we both go out in the greenery he goes out at least 4 times a week"
"54","13","1","2","1","3","2","3","2","4","4","4","1","3","3","1","2","3","3","3","2","3","3","3","3","1","1",""
"55","5","1","2","1","4","3","3","3","4","4","5","4","3","3","5","4","3","2","2","3","2","4","3","3","1","4",""
"56","8","1","3","3","4","3","1","3","1","4","3","4","4","4","4","1","4","1","4","3","4","2","4","3","1","1","She drinks water from the tap. She is very capricious."
"57","5","2","2","2","4","3","3","3","3","4","3","3","4","4","5","1","1","1","1","1","1","1","1","3","1","1",""
"58","13","1","3","3","4","3","2","2","4","4","4","4","4","4","4","4","4","1","4","1","2","2","4","3","1","2",""
"60","6","1","1","3","4","3","2","3","1","1","1","4","1","4","3","4","1","2","3","3","4","4","4","3","1","1","She is not afraid of anything or anyone, even the vacuum cleaner, she tries to hit it with her paw ??"
"61","13","1","1","1","4","3","1","3","2","5","3","4","4","4","5","5","1","1","3","3","3","2","1","3","1","1","No outdoor outing, enclosure not yet available, R'Mione is the future 1st mother of a British Longhair cat breeder"
"62","13","1","3","2","3","2","2","3","2","4","4","4","4","4","5","4","2","1","4","2","2","5","2","3","1","1","Our cat is tied up when she is outside, however she can get stuck in a tree... there is a road a few meters from the house, we are afraid that she will go onto this road."
"63","5","2","4","2","4","3","2","4","3","4","3","4","4","4","5","3","1","2","2","2","2","2","2","3","1","2",""
"65","13","1","3","2","3","2","2","3","4","4","2","4","4","4","4","2","4","2","2","4","4","4","1","3","1","1","Same as for her sister, road axis near our house, she is tied up when she is outside but can move around and play without the trees or the hedge."
"66","5","2","1","1","3","1","1","3","1","4","1","5","5","5","5","5","1","1","1","1","1","5","3","3","1","1",""
"68","5","1","1","3","4","3","3","4","1","3","1","5","4","4","5","5","1","4","3","1","3","4","4","3","1","1",""
"72","5","1","1","1","2","1","1","3","3","4","4","4","4","3","5","3","2","2","2","2","2","3","3","3","1","1","I live on the 7th floor. She has already been on the balcony 2 or 3 times but I am the one who is scared when I see her pass the pasta through the bars. She is reassured by the presence of the dog that I have had for 2 months. My cat is 6 months old, soon to be sterilized ??"
"73","3","1","2","1","4","3","1","3","2","5","3","5","5","5","4","5","4","1","2","3","3","3","3","3","1","1",""
"74","13","2","3","2","2","2","1","3","4","5","1","4","2","2","4","2","3","2","2","1","1","4","3","3","1","1","Indoor cat"
"75","13","2","2","2","2","2","1","3","1","3","1","4","3","5","5","5","1","2","2","2","3","4","3","3","1","1","Indoor cat"
"76","13","1","3","1","4","1","1","3","1","4","3","4","2","4","5","4","2","2","2","1","1","4","4","3","1","1",""
"77","3","2","2","2","4","3","1","4","2","5","1","5","4","5","5","4","2","1","1","1","1","4","1","3","1","1",""
